rainfall (inches),avg wind speed (mph),gust wind speed (mph),wind direction,temperature (deg F),pressure (inHg),PV Voltage (V),PV Rated Voltage (V),PV Rated Current (A),Time

0.000, 0.000, 0.000, NW, 75.89, 24.02, 11.91, 100, 20,14:09:23
0.000, 0.000, 0.000, NW, 79.81, 29.50, 11.91, 100, 20,14:09:26
0.000, 0.000, 0.000, NW, 79.81, 29.50, 11.91, 100, 20,14:09:28
0.000, 0.000, 0.000, NW, 79.81, 29.50, 11.91, 100, 20,14:09:30
0.000, 0.000, 0.000, NW, 79.82, 29.50, 11.91, 100, 20,14:09:32
0.000, 12.998, 26.175, NW, 79.82, 29.50, 11.91, 100, 20,14:09:35
0.000, 7.467, 10.507, NW, 79.82, 29.50, 11.91, 100, 20,14:09:37
0.000, 4.374, 5.944, NW, 79.82, 29.50, 11.91, 100, 20,14:09:39
0.000, 3.417, 3.758, NW, 79.82, 29.50, 11.91, 100, 20,14:09:41
0.000, 2.735, 2.949, NW, 79.82, 29.50, 11.91, 100, 20,14:09:43
0.000, 1.378, 2.224, NW, 79.82, 29.50, 11.91, 100, 20,14:09:46
0.000, 1.367, 1.865, NW, 79.82, 29.50, 11.91, 100, 20,14:09:48
0.000, 1.378, 1.477, NW, 79.82, 29.50, 11.91, 100, 20,14:09:50
0.000, 0.683, 1.326, NW, 79.83, 29.50, 11.91, 100, 20,14:09:52
0.000, 0.684, 0.840, NW, 79.82, 29.50, 11.91, 100, 20,14:09:54
0.000, 1.379, 0.999, NW, 79.82, 29.50, 11.91, 100, 20,14:09:57
0.000, 0.679, 0.754, NW, 79.83, 29.50, 11.91, 100, 20,14:09:59
