rainfall (in),avg wind speed (mph),gust wind speed (mph),wind direction,temp (deg F),pressure (inHg),time since last (s),time current
0.000, 0.000, 0.000, SSE, 75.89, 24.02, 4,10:12:01
0.000, 0.000, 0.000, SSE, 79.25, 29.53, 10,10:12:02
0.000, 0.000, 0.000, SSE, 79.26, 29.53, 10,10:12:03
0.000, 0.000, 0.000, SSE, 79.26, 29.53, 10,10:12:04
0.000, 0.000, 0.000, SSE, 79.27, 29.53, 10,10:12:05
0.000, 0.000, 0.000, SSE, 79.27, 29.53, 10,10:12:06
0.000, 0.000, 0.000, SSE, 79.27, 29.53, 10,10:12:07
0.000, 14.758, 28.692, SSE, 79.28, 29.53, 10,10:12:08
0.000, 14.743, 19.377, SSE, 79.28, 29.53, 10,10:12:09
0.000, 8.872, 11.389, SSE, 79.29, 29.53, 10,10:12:10
0.000, 7.379, 8.198, SSE, 79.30, 29.53, 10,10:12:11
0.000, 4.419, 5.828, SSE, 79.30, 29.53, 10,10:12:12
0.000, 4.419, 5.291, SSE, 79.31, 29.53, 10,10:12:13
0.000, 4.423, 4.215, SSE, 79.31, 29.53, 10,10:12:14
0.000, 2.949, 3.777, SSE, 79.32, 29.53, 10,10:12:15
0.000, 2.949, 3.368, SSE, 79.32, 29.53, 10,10:12:16
0.000, 2.943, 2.972, SSE, 79.32, 29.53, 10,10:12:17
0.000, 2.949, 2.627, SSE, 79.33, 29.53, 10,10:12:18
0.000, 1.474, 2.281, SSE, 79.33, 29.53, 10,10:12:19
0.000, 1.476, 1.723, SSE, 79.33, 29.53, 10,10:12:20
0.000, 2.949, 7.243, SSE, 79.34, 29.53, 10,10:12:21
